discovery keyword,channel name,URL,emails,total subs,AVG views,AVG engagement,date recorded,sampleSize
mechanical keyboard review,Science Studio,https://www.youtube.com/channel/UCmbkRUS_4Efdt5UIhwNqtcw,testEmail,348212,32211.217391304348,0.07427795429983433,2018-04-30 10:35:13.878109,25.0
mechanical keyboard review,SilencedTech,https://www.youtube.com/channel/UCqkjL0pwKQTz1oujPqM1qJQ,testEmail,56378,4883.142857142857,0.05615041054746162,2018-04-30 10:35:15.420463,7.0
mechanical keyboard review,This Does Not Compute,https://www.youtube.com/channel/UCEp20NgOZHmgWdbQdHSxgjw,testEmail,82759,8443.384615384615,0.07372180314128494,2018-04-30 10:35:18.016002,14.0
mechanical keyboard review,theASMRnerd,https://www.youtube.com/channel/UC-J69_lkam--1V2wDU3aggg,testEmail,63518,6179.583333333333,0.0347184337474945,2018-04-30 10:35:20.404557,12.0
mechanical keyboard review,Jarrod'sTech,https://www.youtube.com/channel/UC2Rzju32yQPkQ7oIhmeuLwg,testEmail,15324,6950.916666666667,0.053685964680917374,2018-04-30 10:35:23.018031,13.0
mechanical keyboard review,Romsicle,https://www.youtube.com/channel/UCuwC0BIaKqs3UOVPzFTFPvA,testEmail,1857,1465.9545454545455,0.02204345277495689,2018-04-30 10:35:27.576980,24.0
mechanical keyboard review,Barnacules Nerdgasm,https://www.youtube.com/channel/UC1MwJy1R0nGQkXxRD9p-zTQ,testEmail,940673,,,2018-04-30 10:35:28.624912,1.0
mechanical keyboard review,uglypoe,https://www.youtube.com/channel/UCPOx_76SFHQNJn1B5KfV4Hg,testEmail,1801,6282.238095238095,0.008193925428456646,2018-04-30 10:35:32.621461,22.0
mechanical keyboard review,Myxo14,https://www.youtube.com/channel/UClp7ddFRFO69VmviPjKCnNA,testEmail,1599,30070.0,0.013030202255343593,2018-04-30 10:35:34.803954,12.0
mechanical keyboard review,DidsLive,https://www.youtube.com/channel/UCKCUj0Ot01LiTYjhOJwSWYg,testEmail,1163,731.0,0.024487004103967168,2018-04-30 10:46:56.081062,11.0
mechanical keyboard review,Rocket Jump Ninja,https://www.youtube.com/channel/UCGJaDZC7PChgd-XMwcbZkiw,testEmail,117408,16833.416666666668,0.04891217217888868,2018-04-30 10:46:57.549774,13.0
mechanical keyboard review,P Tech,https://www.youtube.com/channel/UCfJAUPooeyIDVz6_zc4gG1w,testEmail,17,,,2018-04-30 10:46:57.744618,1.0
mechanical keyboard review,The TechieGames,https://www.youtube.com/channel/UCfNBTw1r0akiaUSPw6SenYQ,testEmail,3084,682.9166666666666,0.05708942356155663,2018-04-30 10:47:01.273276,25.0
mechanical keyboard review,BadSeed Tech,https://www.youtube.com/channel/UCOFH59uoSs8SUF0L_p3W0sg,testEmail,20699,1722.2,0.11520148647079317,2018-04-30 10:47:02.553704,5.0
mechanical keyboard review,RedGamingTech,https://www.youtube.com/channel/UC4JbHDcSCpK3TTcdvQYa-OA,testEmail,51907,4581.391304347826,0.0627174834554404,2018-04-30 10:47:05.630453,25.0
mechanical keyboard review,PacoMNL,https://www.youtube.com/channel/UCD0BCr5MPWxUX-IQ8bVEgrQ,testEmail,13493,3591.217391304348,0.04366933824063537,2018-04-30 10:47:09.176880,25.0
mechanical keyboard review,PC Crazy,https://www.youtube.com/channel/UCYlp-u4-BSWNIPEJ-5fhiNg,testEmail,3309,973.9583333333334,0.035939548942106485,2018-04-30 10:47:12.305516,25.0
mechanical keyboard review,Nerd Cave PH,https://www.youtube.com/channel/UCu4qvn8hNupSEVV2fk2fYcA,testEmail,786,1477.1666666666667,0.03630706010202082,2018-04-30 10:47:15.152822,20.0
mechanical keyboard review,JSL Review,https://www.youtube.com/channel/UCtYJT2feifBiVsxSC1S1Jwg,testEmail,12192,11394.25,0.024339762014466363,2018-04-30 10:47:16.824804,13.0
mechanical keyboard review,The Daily Dot,https://www.youtube.com/channel/UCPky_U7C3p6Y7qMoLCsTA-w,testEmail,30754,4628.714285714285,0.013564396160612328,2018-04-30 10:47:18.731977,15.0
mechanical keyboard review,LearnCode.academy,https://www.youtube.com/channel/UCVTlvUkGslCV_h-nSAId8Sw,testEmail,464661,9879.636363636364,0.03786407915884525,2018-04-30 10:47:20.344123,13.0
keyboard review,CrankyTechID,https://www.youtube.com/channel/UCvNl7rXA6joKatJoHXEciPg,testEmail,30016,6169.95652173913,0.03879246559414836,2018-04-30 10:47:29.569802,25.0
keyboard review,Matt Gonzalez,https://www.youtube.com/channel/UCO2RafvMgqlepmwhg5iuJYg,testEmail,26004,16560.833333333332,0.022271652264607533,2018-04-30 10:47:32.562970,25.0
keyboard review,LGR,https://www.youtube.com/channel/UCLx053rWZxCiYWsBETgdKrQ,testEmail,846072,143207.0,0.050948297064932424,2018-04-30 10:47:33.799636,9.0
keyboard review,The Tech Chap,https://www.youtube.com/channel/UCzlXf-yUIaOpOjEjPrOO9TA,testEmail,253314,139820.81818181818,0.018905040152038744,2018-04-30 10:47:36.451156,24.0
keyboard review,GameSpot,https://www.youtube.com/channel/UCbu2SsF-Or3Rsn3NxqODImw,testEmail,3108443,50869.434782608696,0.03406949618959137,2018-04-30 10:47:39.361916,25.0
keyboard review,The Phawx,https://www.youtube.com/channel/UCNpxh2vUm0kZJP_D6C4OMSA,testEmail,14209,5382.375,0.032708057128220766,2018-04-30 10:47:42.301626,25.0
keyboard review,zollotech,https://www.youtube.com/channel/UCiQMYozSSTkJ2twtZM1bG9w,testEmail,251274,12920.454545454546,0.052242744063324534,2018-04-30 10:47:44.200250,12.0
keyboard review,Tek Everything,https://www.youtube.com/channel/UC-S891KrwZOQUQHjgkJNyqw,testEmail,22944,42723.55,0.021555965466845628,2018-04-30 10:47:46.772634,21.0
keyboard review,Dyland PROS,https://www.youtube.com/channel/UCXdmo_q4SawYMz-dmeKEHPQ,testEmail,1063174,325846.5714285714,0.05596360133267512,2018-04-30 10:47:48.023390,7.0
