discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id,categoryId
how should a suit fit,The Armoury,testEmail,US,https://www.youtube.com/channel/UCo1nG89OVkg9z_gffYAiTmQ/about,"17,528.57",0.86%,no notes,5,0,2018-05-17 15:15:14,8,UCo1nG89OVkg9z_gffYAiTmQ,People & Blogs
best sweater guy,LabrinthVEVO,testEmail,country not detected,https://www.youtube.com/channel/UCGLzRVwflLiCoKKErrMfREg/about,"1,475,252.42",0.82%,no notes,5,770008,2018-05-30 16:32:43,13,UCGLzRVwflLiCoKKErrMfREg,Music
how to tie a tie,How to tie a tie,testEmail,country not detected,https://www.youtube.com/channel/UC4UuK5vs0b8HhqLDE6ssWOA/about,"146,949.33",0.82%,no notes,5,0,2018-05-17 15:15:48,3,UC4UuK5vs0b8HhqLDE6ssWOA,People & Blogs
how to tie a tie,defragmenteur,testEmail,country not detected,https://www.youtube.com/channel/UCKuNZ_YWNoBeNbZ6gYTm9sw/about,"477,520.83",0.70%,no notes,5,18779,2018-05-17 15:15:38,7,UCKuNZ_YWNoBeNbZ6gYTm9sw,How-to & Style
best short haircut for men,Barber Secrets,testEmail,country not detected,https://www.youtube.com/channel/UCCjj4R4hS9MfHIDFDYeoGdQ/about,"83,839.00",0.64%,no notes,fashion,1500,2018-05-31 16:46:12,4,UCCjj4R4hS9MfHIDFDYeoGdQ,People & Blogs
guy how to dress,Alex Webb,testEmail,US,https://www.youtube.com/channel/UCKcbd_1co-FhrdqRCumEZcw/about,"8,839.76",0.60%,no notes,5,1925,2018-05-17 15:13:21,18,UCKcbd_1co-FhrdqRCumEZcw,Travel & Events
how to tie a tie,MyNiceTie,testEmail,US,https://www.youtube.com/channel/UC0LQQ94zC6JyfcdaO3rjcZQ/about,"470,645.45",0.56%,no notes,5,56899,2018-05-17 15:15:46,12,UC0LQQ94zC6JyfcdaO3rjcZQ,How-to & Style
how should a suit fit,Rampley & Co,testEmail,GB,https://www.youtube.com/channel/UCV2blv2VhVIv8k8t73_6YIQ/about,"9,967.60",0.55%,no notes,5,1003,2018-05-17 15:15:28,15,UCV2blv2VhVIv8k8t73_6YIQ,How-to & Style
mens fashion subtle statement,Mens Fashion Magazine (MFM),testEmail,country not detected,https://www.youtube.com/channel/UCnFRU6mTqnTbQ2ZCjHITaEQ/about,"20,262.92",0.53%,no notes,fashion,6886,2018-05-31 16:51:08,13,UCnFRU6mTqnTbQ2ZCjHITaEQ,How-to & Style
how to tie a tie,Ties.com®,testEmail,country not detected,https://www.youtube.com/channel/UCpRfx_WzI7kxgIC27FHJrew/about,"185,524.38",0.46%,no notes,5,18944,2018-05-17 15:15:52,14,UCpRfx_WzI7kxgIC27FHJrew,How-to & Style
how to tie a tie,tiehole,testEmail,country not detected,https://www.youtube.com/channel/UCN9KJcXJVRfZ8BXb__fjMhQ/about,"781,660.69",0.43%,no notes,5,67923,2018-05-17 15:15:35,14,UCN9KJcXJVRfZ8BXb__fjMhQ,How-to & Style
best sweater guy,phil23,testEmail,country not detected,https://www.youtube.com/channel/UCEV5aivM6_AvV8x7oMjzEjQ/about,"4,270,819.67",0.36%,no notes,5,1488,2018-05-30 16:32:43,3,UCEV5aivM6_AvV8x7oMjzEjQ,Comedy
dude fashion,gavonl,testEmail,country not detected,https://www.youtube.com/channel/UCbE123J9bs3u5brlaMAoIHw/about,"86,165.57",0.27%,no notes,5,339,2018-05-17 15:14:17,25,UCbE123J9bs3u5brlaMAoIHw,Comedy
best short haircut for men,charis vinoya,testEmail,country not detected,https://www.youtube.com/channel/UCELHEm5X1fN4CpuzFxEl64g/about,"10,092,625.00",0.19%,no notes,fashion,4237,2018-05-31 16:46:12,2,UCELHEm5X1fN4CpuzFxEl64g,Entertainment
mens fashion subtle statement,Levi's®,testEmail,country not detected,https://www.youtube.com/channel/UCNFVl0Sp2AN0d2uALmaOarg/about,"160,329.00",0.01%,no notes,fashion,151617,2018-05-31 16:50:48,15,UCNFVl0Sp2AN0d2uALmaOarg,How-to & Style
mens dapper club review,Trunk Club,testEmail,country not detected,https://www.youtube.com/channel/UClTDY_RqkPgFa-HZOXIROyA/about,"143,070.91",0.00%,no notes,fashion,3939,2018-05-31 16:50:36,25,UClTDY_RqkPgFa-HZOXIROyA,How-to & Style
how to tie a tie,Steve TV Show,testEmail,US,https://www.youtube.com/channel/UCEs-zSwH2NYGskxF-ptoT1w/about,"8,929.75",,no notes,5,2035908,2018-05-17 15:15:54,17,UCEs-zSwH2NYGskxF-ptoT1w,Entertainment
